,Unnamed: 0,Artists,Name,Year,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
44,44,Ed Sheeran,Shape Of You,2017,"Tropical House,Dancehall,Pop,UK",59.41,81.56,63.4,9.09,29.15,95.02,1
45,45,Ed Sheeran,Perfect,2018,"Adult Contemporary,Ballad,UK,Pop",16.67,55.67,41.7,72.73,28.58,14.11,2
46,46,Gwen Stefani,Hollaback Girl,2005,"Memes,Rap,Pop",35.79,93.13,91.49,90.91,37.8,92.15,4
47,47,Nelly,Dilemma,2002,"Neo Soul,Soul,Hip-Hop,Pop,R&;B,Rap",21.27,70.68,51.06,18.18,73.66,58.75,1
48,48,Lonestar,Amazed,2000,"Pop,Country",42.43,55.21,51.91,9.09,13.13,28.22,3
49,49,Shaggy,It Wasn't Me,2001,Rap,5.74,84.77,58.51,0.0,28.4,65.65,1
50,50,Mary J. Blige,Family Affair,2001,"Soul Pop,Pop,R&;B",13.5,91.41,52.65,72.73,27.24,99.05,4
51,51,Katy Perry,Teenage Dream,2010,"Bubblegum Pop,Teen Pop,Dance-Pop,Power Pop,Electro-Pop,Pop",1.66,69.42,78.93,90.91,43.97,58.97,4
52,52,Taylor Swift,We Are Never Ever Getting Back Together,2012,"Dance-Pop,Country,Pop-Rock,Pop",0.98,58.99,65.95,63.64,22.98,75.82,4
53,53,Flo Rida,Whistle,2012,Rap,2.13,72.62,93.72,0.0,34.08,74.66,1
54,54,Ja Rule,Always On Time,2002,Rap,20.96,56.59,70.0,45.45,29.54,83.99,4
55,55,T.I.,Whatever You Like,2008,Rap,2.07,64.95,65.53,0.0,62.46,48.79,1
56,56,Lady Gaga,Just Dance,2009,"Dance-Pop,Pop",2.7,81.21,72.66,9.09,43.34,75.29,1
57,57,Drake,God's Plan,2018,"Hip-Hop,Trap,Pop,Rap,Canada",3.39,73.42,41.8,63.64,17.55,34.15,2
58,58,Robin Thicke,Blurred Lines,2013,"R&;B,Pop",0.42,85.68,47.65,63.64,43.96,89.71,4
59,59,Fergie,London Bridge,2006,"Hip-Hop,Rap,Dance-Pop,Pop",22.09,75.14,58.83,9.09,26.05,63.42,1
60,60,Britney Spears,Hold It Against Me,2011,"Dance-Pop,Pop",1.05,61.28,70.85,0.0,51.96,37.55,1
61,61,Rihanna,Disturbia,2008,"Dance-Pop,Electro-Pop,R&;B,Pop",8.82,68.04,80.53,100.0,47.0,72.86,4
62,62,Twista,Slow Jamz,2004,"Producer,Rap",32.11,51.09,72.02,18.18,59.45,61.09,1
63,63,OutKast,Ms. Jackson,2001,"Atlanta,Hip-Hop,R&;B,Soul,Dirty South,Memes,Soul Pop,Pop,Rap",20.35,83.05,82.76,36.36,28.51,68.4,4
64,64,Coldplay,Viva La Vida,2008,"Pop,Adult Alternative,Adult Contemporary,Pop-Rock,Chamber Music,Baroque Pop,British Rock,Soundtrack,Alternative,UK,Alternative Rock,Rock",9.62,42.61,59.89,45.45,55.08,40.41,0
65,65,Flo Rida,Right Round,2009,Rap,0.92,69.53,65.53,63.64,47.04,71.05,4
66,66,Alicia Keys,Fallin',2001,"Singer-Songwriter,East Coast,Ballad,Chart History,Piano,Soul,Soul Pop,Pop,R&;B",26.89,61.86,58.83,100.0,29.15,47.41,2
67,67,Kanye West,Gold Digger,2005,"Hip-Hop,Rap,Producer",1.96,59.34,68.08,9.09,27.27,62.15,1
68,68,"Luis Fonsi, Daddy Yankee",Despacito,2017,"Memes,Canada,Reggaeton,Latin Music,En Espa\xc3\xb1ol,Latin Pop,Remix,Pop",20.25,62.08,78.83,18.18,79.69,85.26,1
69,69,Usher,Confessions Part II,2004,"Neo Soul,Soul Pop,Soul,R&;B",5.99,83.85,43.72,9.09,55.07,70.73,1
70,70,Taylor Swift,Shake It Off,2014,"Dance-Pop,Pop",5.74,61.28,77.55,63.64,68.65,96.29,4
71,71,Mariah Carey,Touch My Body,2008,"R&;B,Pop",10.18,68.96,64.78,36.36,18.37,85.37,4
72,72,Lady Gaga,Born This Way,2011,"Electronic,Electro-Pop,Synth-Pop,Disco,LGBTQ+,Pop",0.33,54.3,82.13,100.0,46.37,48.68,0
73,73,Destiny's Child,Bootylicious,2001,"Pop,R&;B",0.29,83.28,82.87,9.09,33.71,63.84,1
74,74,Meghan Trainor,All About That Bass,2014,"Adult Contemporary,R&;B,Bubblegum Pop,Doo-Wop,Pop",5.86,79.5,88.4,81.82,52.63,98.2,4
75,75,Juvenile,Slow Motion,2004,Rap,56.13,68.73,72.12,0.0,76.57,90.78,1
76,76,Bruno Mars,That's What I Like,2017,"Funk,R&;B,Pop",1.33,84.77,53.61,9.09,52.64,87.49,1
77,77,Terror Squad,Lean Back,2004,Rap,10.05,67.12,92.87,9.09,48.21,68.3,1
78,78,Wiz Khalifa,Black And Yellow,2011,"Pop,Rap",6.61,65.41,82.76,18.18,71.11,53.35,1
79,79,MAGIC!,Rude,2014,"Canada,Reggae,Pop",4.32,75.72,74.47,9.09,58.79,95.02,1
80,80,Kendrick Lamar,Humble.,2017,"Hip-Hop,Producer,Conscious Hip-Hop,Pop,Trap,West Coast,Rap",0.03,91.07,60.1,9.09,62.47,40.94,1
81,81,Jonas Brothers,Sucker,2019,"Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",4.37,83.51,72.12,9.09,55.04,97.24,1
82,82,Baauer,Harlem Shake,2013,"Dance,Memes,Electronic,Pop",1.13,38.83,78.51,0.0,54.96,26.2,1
83,83,Katy Perry,Roar,2013,Pop,0.5,50.52,76.17,63.64,80.96,44.54,0
84,84,"Lady Gaga, Bradley Cooper",Shallow,2019,"Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",37.93,52.58,34.99,63.64,29.04,30.55,2
85,85,James Blunt,You're Beautiful,2006,Pop,64.72,64.38,44.99,0.0,20.53,44.44,3
86,86,Sean Paul,Temperature,2006,"Reggae,Jamaica,Dancehall,Rap",10.84,95.99,57.87,0.0,47.07,83.46,1
87,87,Lil Wayne,Lollipop,2008,"Remix,Rap",5.62,82.02,39.57,0.0,61.28,43.8,1
88,88,Bruno Mars,When I Was Your Man,2013,"Easy Listening,Adult Contemporary,Piano,Ballad,Neo Soul,Soul Pop,R&;B,Pop",95.3,57.16,23.82,0.0,14.85,37.33,3
89,89,Mariah Carey,Don't Forget About Us,2005,"Soul,R&;B,Pop",4.31,67.24,50.31,90.91,58.49,37.23,2
90,90,Usher,U Remind Me,2001,"Soul Pop,Neo Soul,Soul,R&;B",19.84,62.31,60.95,54.55,27.92,73.28,4
91,91,Fantasia,I Believe,2004,R&;B,36.5,47.19,41.48,72.73,52.51,10.51,2
92,92,Jay Sean,Down,2009,"UK,Pop,R&;B,Rap",1.1,62.31,67.98,18.18,10.66,68.72,1
93,93,Nelly,Grillz,2006,"Crunk,Dirty South,Hip-Hop,Rap",3.66,86.37,47.65,36.36,21.14,85.37,4
94,94,D4L,Laffy Taffy,2006,Rap,4.03,89.12,39.57,0.0,17.75,60.34,1
95,95,Eminem,Love The Way You Lie,2010,"Ballad,Pop,Rap",24.64,72.85,92.45,90.91,23.6,64.27,4
96,96,Rihanna,Umbrella,2007,"Rap,R&;B,Pop",0.88,53.84,82.23,9.09,77.29,57.27,1
97,97,50 Cent,In Da Club,2003,"Hip-Hop,Memes,Producer,East Coast,Gangsta Rap,SHADYXV,Rap",26.58,90.38,70.64,54.55,25.5,81.66,4
98,98,Nickelback,How You Remind Me,2002,"Alternative Rock,Hard Rock,Post-Grunge,Rock",0.14,38.14,75.32,90.91,76.09,53.88,0
99,99,Justin Bieber,Love Yourself,2016,"UK,Canada,Pop",85.38,56.82,34.25,36.36,31.89,50.91,3
100,100,Rihanna,We Found Love,2012,"Electro-Pop,Electronic,R&;B,Pop",2.56,71.13,75.53,9.09,48.89,59.92,1
101,101,Maroon 5,Makes Me Wonder,2007,"Protest Songs,Adult Contemporary,Alternative Dance,Adult Alternative,Rock,Pop-Rock,Dance-Pop,Pop",0.5,79.04,84.57,63.64,40.26,89.71,4
102,102,Travis Scott,Sicko Mode,2018,"Hip-Hop,Memes,Rap,Canada,Trap",0.52,82.59,71.7,72.73,65.55,43.59,0
103,103,Enrique Iglesias,Be With You,2000,"House,Dance-Pop,Latin Pop,Pop",3.67,66.09,86.7,9.09,45.19,55.78,1
104,104,LMFAO,Sexy And I Know It,2012,"Electro-Pop,Pop,Rap",10.22,68.04,85.64,63.64,50.14,80.6,4
105,105,Jason Derulo,Whatcha Say,2009,"Pop,R&;B",4.54,57.5,69.68,100.0,58.79,71.69,4
106,106,Eminem,Lose Yourself,2002,"Rap Rock,Hip-Hop,Screen,Soundtrack,SHADYXV,Rap",0.94,65.98,72.23,18.18,75.67,2.56,1
107,107,50 Cent,Candy Shop,2005,Rap,2.59,57.39,55.1,100.0,47.15,76.35,4
108,108,Rihanna,Work,2016,"Producer,Ragga,Memes,R&;B,Dancehall,Canada,Pop",7.69,70.1,50.85,100.0,26.68,55.47,2
109,109,Drake,Nice For What,2018,"Bounce,Rap,Canada,R&;B",9.11,54.18,90.74,72.73,27.55,76.57,4
110,110,Sean Paul,Get Busy,2003,"Pop,Reggae,Jamaica,Dancehall",62.88,71.25,81.7,90.91,31.75,73.28,4
111,111,Drake,In My Feelings,2018,"Bounce,Pop,Trap,Canada,R&;B,Rap",6.02,82.7,60.63,9.09,26.1,33.41,1
112,112,Mario,Let Me Love You,2004,"Pop,R&;B",24.03,62.2,55.53,63.64,28.24,55.25,2
