,Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
3842,Alice Merton,No Roots,2018,84,2018-04-14,3,"Adult Alternative,Adult Contemporary,Synth-Pop,Alternative Pop,Alternative Rock,Pop,Dance-Pop,Dance,Rock,Electro-Pop,Pop-Rock,Alternative",0.2699369184597656,0.8591065292096219,0.6393233322693904,0.6363636363636364,0.414705900492787,0.8420103912628567,4
3843,Eric Church,Mr. Misunderstood,2016,84,2016-01-22,5,Country,0.06431270879906381,0.3115693012600229,0.7999787211405468,0.6363636363636364,0.4964999167381074,0.5419361679567385,0
3844,Kanye West,FML,2016,84,2016-04-23,0,"Alternative R&;B,R&;B,Canada,Rap",0.3363992438100671,0.4742268041237113,0.3818491328864773,0.4545454545454546,0.4726746803668457,0.09023433358074434,3
3845,Swizz Beatz,Money In The Bank,2007,84,2007-09-26,4,Rap,0.01104059878751451,0.8293241695303551,0.681881051175657,0.0,0.303498849752373,0.6320644682430283,1
3846,Sean Kingston,Dumb Love,2010,84,2010-09-23,0,Rap,0.3640066712632693,0.7388316151202748,0.6276199595701669,0.0,0.4891605350964296,0.8929063726009967,1
3847,Lloyd Banks,Hands Up,2006,84,2006-09-13,4,"Gaming,Rap",0.07872992091351382,0.7857961053837342,0.8744547292265135,0.09090909090909091,0.2854464379328847,0.5928321492948785,1
3848,Dave Hollister,Can't Stay,2000,84,2000-03-28,4,Pop,0.004987414694071667,0.3390607101947308,0.3871688477497606,1.0,0.4316851590302147,0.006680097550630898,2
3849,Miley Cyrus,Fly On The Wall,2009,84,2009-01-08,2,"Electro-Pop,Rock,Pop-Rock,Pop",0.1687096844646912,0.5108820160366552,0.9627619959570166,0.6363636363636364,0.5874959139997162,0.7020464425829711,4
3850,Ariana Grande,Right There,2013,84,2013-08-23,8,"Rap,R&;B,Pop",0.1298547865675919,0.5819014891179839,0.8276412384296202,0.6363636363636364,0.6622774286260553,0.5578411621249073,0
3851,Phoenix,1901,2010,84,2010-01-21,13,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",0.06185871524766807,0.547537227949599,0.8244494095116501,0.0,0.5881743442355016,0.7105291061393277,1
3852,Lil Wayne,How To Hate,2011,84,2011-09-15,0,Rap,0.2269920313103401,0.3310423825887743,0.742525800617087,0.6363636363636364,0.596864418801152,0.2238362845933623,0
3853,twenty one pilots,Fairly Local,2015,84,2015-04-03,0,"Alternative,Electronic,Electro-Pop,Dubstep,Rap,Pop",0.04048852140426346,0.6895761741122565,0.7095435684647302,0.5454545454545454,0.4087048766798857,0.4708938606722511,4
3854,Passion Pit,Take A Walk,2013,84,2013-02-08,22,Rock,0.0345580369883904,0.5189003436426117,0.7435897435897436,1.0,0.3224887288067645,0.4348425405577351,2
3855,Billie Eilish,Ocean Eyes,2019,84,2019-05-04,18,"Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop",0.8343554352807871,0.4558991981672393,0.3265240983083306,0.3636363636363636,0.5931577226947249,0.1421906478634291,3
3856,My Chemical Romance,The Ghost Of You,2006,84,2006-01-11,0,"Pop-Punk,Emo,Alternative,Alternative Rock,Rock",0.02924105096036628,0.1019473081328752,0.8829662730077666,1.0,0.59864067250939,0.1665783055879546,0
3857,Breaking Benjamin,Breath,2007,84,2007-05-02,7,"Hard Rock,Post-Grunge,Alternative Metal,Rock",0.0001203274838034381,0.2680412371134021,0.8638152994999467,0.4545454545454546,0.8272716619690512,0.2948785918778496,0
3858,Cher,Song For The Lonely,2002,85,2002-04-09,6,"Electro-Pop,Electronic,Dance-Pop,Dance,Pop",0.005396413619304291,0.4982817869415807,0.9138206192148101,0.0,0.50113791253184,0.365920899162337,1
3859,Kehlani,CRZY,2016,85,2016-10-22,5,R&;B,0.2310820205626664,0.8178694158075601,0.6872007660389404,0.5454545454545454,0.5014339548165463,0.6988654437493373,4
3860,Jagged Edge,What's It Like,2004,85,2004-04-28,2,R&;B,0.350714206193209,0.5715922107674685,0.634003617406107,0.0,0.4082916509908165,0.3744035627186937,3
3861,Josh Thompson,Way Out Here,2010,85,2010-11-04,9,Pop,0.05827997465188261,0.3161512027491409,0.7063517395467602,0.1818181818181818,0.6119564077735768,0.5037641819531333,1
3862,Jeezy,Seen It All,2014,85,2014-09-19,2,Rap,0.1380347650722444,0.6849942726231385,0.8265772954569635,0.6363636363636364,0.3538692109856357,0.5408758350121938,4
3863,Avicii,You Make Me,2013,85,2013-10-04,0,"Electro House,Pop,Dance",0.002523196169545106,0.5418098510882016,0.713799340355357,0.5454545454545454,0.4704111903983618,0.4889195207295091,0
